Original,Refactoring,Time,Improvement,Original Score,Refactoring Score
!(A<->!(!B&!C&D&!E)),!(A<->(B|C|!D|E)),0.068,0.9820059980006666,30.01,29.470000000000006
(!A->((B&!C)<->D)),(A|((B&!C)<->D)),0.047,0.901522842639594,29.549999999999994,26.639999999999997
!(A->((B&C)<->!D)),(A&!(!(!B|!C)<->!D)),0.069,0.8161365399534524,38.67,31.560000000000002
!(A->((B&C)<->!D)),(A&!(!(!B|!C)<->!D)),0.071,0.8161365399534524,38.67,31.560000000000002
((!A&!B&!C)->(D<->E)),(A|B|C|(D<->E)),0.048,0.7683836589698048,28.149999999999995,21.63
!(!(A|B|!C)->(!D<->!E)),(!(A|B|!C)&!(!D<->!E)),0.04,0.8827850526988184,31.31,27.64
((A&(B|C|D|E))->F),(!A|(!B&!C&!D&!E)|F),0.024,0.9280406726632773,25.57,23.73
!(!(A&!(!B|C|D|!E))->F),((!A|!B|C|D|!E)&!F),0.046,0.6547688706846108,34.18000000000001,22.38
((A<->(B&!C))|(C&!D)),((A<->(B&!C))|(C&!D)),0.086,1.0,28.999999999999996,28.999999999999996
(!(A<->(!B|!C))&!(C&!D)),(((A&B&C)|(!A&(!B|!C)))&(!C|D)),0.11,0.9623701207525976,35.61,34.27
((A<->(B&C&D&!E))|(E&!F)),((A<->(B&C&D&!E))|(E&!F)),0.195,1.0,32.9,32.9
(!(!A<->!(!B&C&D&E))&!(!E|!F)),(!(!A<->!(!B&C&D&E))&E&F),0.068,0.9746272560816109,38.230000000000004,37.25999999999999
(!(!A<->!(!B&C&D&E))&!(!E|!F)),(!(!A<->!(!B&C&D&E))&E&F),0.068,0.9746272560816109,38.230000000000004,37.25999999999999
((!A&!B&!C)|(!A&!B&!D)|(!A&!C&!D)|(!B&!C&!D)),((!A&!B&(!C|!D))|((!A|!B)&!C&!D)),0.073,0.8498546127412107,37.830000000000005,32.150000000000006
((A&B&C)->!(D|E)),(!A|!B|!C|(!D&!E)),0.005,0.8014291086874766,26.59,21.310000000000002
!(!(A|!B|!C)->!(D&!E)),(!A&B&C&D&!E),0.017,0.6322627210393359,27.71,17.52
(!(A|B)->!(C|D|(E&F))),((C|D|(E&F))->(A|B)),0.047,0.7200788510278794,35.510000000000005,25.57
!(!(!A|!B)->(C|D|(!E&F))),(A&B&!C&!D&(E|!F)),0.024,0.6444321940463066,36.28,23.380000000000003
!(!(!A|!B)->(C|D|(!E&F))),(A&B&!C&!D&(E|!F)),0.023,0.6444321940463066,36.28,23.380000000000003
(A->(!B&!C&D)),(!A|(!B&!C&D)),0.009,0.9031061659712564,21.57,19.48
!(A->(!B&!C&!D)),(A&(B|C|D)),0.0,0.5812027367662944,27.77,16.139999999999997
((A&B&!C&!D&!E)->!F),(!A|!B|C|D|E|!F),0.021,0.6667934575884368,26.29,17.53
